Insect species,Plant species,Pollen grains
Apis mellifera,Erica cinerea,63.7
Apis mellifera,Erica cinerea,63.7
Apis mellifera,Erica cinerea,63.7
Apis mellifera,Erica cinerea,63.7
Apis mellifera,Erica cinerea,63.7
Apis mellifera,Erica cinerea,63.7
Apis mellifera,Erica cinerea,63.7
Apis mellifera,Erica cinerea,63.7
Apis mellifera,Erica cinerea,63.7
Apis mellifera,Erica cinerea,63.7
Apis mellifera,Erica cinerea,65
Metasyrphus corollae,Erica cinerea,65
Bombus lucorum/terrestris,Ulex minor,65
Bombus lucorum/terrestris,Erica tetralix,66
Apis mellifera,Calluna vulgaris,69
Bombus lucorum/terrestris,Ulex minor,70
Apis mellifera,Ulex gallii,70
Bombus lucorum/terrestris,Erica cinerea,72
Apis mellifera,Erica cinerea,72
Bombus lucorum/terrestris,Erica cinerea,73
Apis mellifera,Erica cinerea,74
Bombus lucorum/terrestris,Calluna vulgaris,74
Linnaemyia vulpina,Calluna vulgaris,74
Bombus lucorum/terrestris,Erica tetralix,74
Bombus lucorum/terrestris,Erica tetralix,77
Coccinella 7-punctata,Rumex acetosella,79
Bombus lapidarius,Erica cinerea,80
Bombus lucorum/terrestris,Erica tetralix,81
Apis mellifera,Erica tetralix,81
Apis mellifera,Erica cinerea,82
Bombus lucorum/terrestris,Erica cinerea,85
Bombus jonellus,Calluna vulgaris,85
Apis mellifera,Erica cinerea,86
Apis mellifera,Erica cinerea,87
Bombus lucorum/terrestris,Erica cinerea,90
Bombus lucorum/terrestris,Calluna vulgaris,95
Apis mellifera,Erica cinerea,96
Apis mellifera,Erica cinerea,98
Bombus lucorum/terrestris,Calluna vulgaris,99
Bombus lucorum/terrestris,Erica tetralix,100
Linnaemyia vulpina,Calluna vulgaris,105
Bombus pascuorum,Calluna vulgaris,105
Bombus lucorum/terrestris,Erica cinerea,106
Apis mellifera,Erica cinerea,108
Bombus lucorum/terrestris,Erica tetralix,114
Apis mellifera,Calluna vulgaris,118
Metasyrphus corollae,Calluna vulgaris,119
Apis mellifera,Calluna vulgaris,120
Bombus lucorum/terrestris,Calluna vulgaris,121
Rhagonycha fulva,Calluna vulgaris,122
Bombus lucorum/terrestris,Erica tetralix,126
Bombus jonellus,Calluna vulgaris,129
Apis mellifera,Erica cinerea,130.2
Apis mellifera,Erica cinerea,130.2
Apis mellifera,Erica cinerea,130.2
Apis mellifera,Erica cinerea,130.2
Bombus lucorum/terrestris,Erica tetralix,138
Epistrophe grossulariae,Calluna vulgaris,140
Apis mellifera,Calluna vulgaris,140
Apis mellifera,Erica cinerea,144
Bombus jonellus,Calluna vulgaris,149
Apis mellifera,Calluna vulgaris,149
Apis mellifera,Calluna vulgaris,151
Apis mellifera,Erica cinerea,153
Coleoptera indet. 4,Calluna vulgaris,154
Bombus jonellus,Calluna vulgaris,157
Bombus lucorum/terrestris,Calluna vulgaris,163
Bombus lucorum/terrestris,Erica cinerea,168
Apis mellifera,Calluna vulgaris,170
Apis mellifera,Calluna vulgaris,172
Bombus lucorum/terrestris,Erica tetralix,194
Sarcophaga indet.,Calluna vulgaris,194
Vespula rufa,Calluna vulgaris,199
Bombus lucorum/terrestris,Erica cinerea,201
Episyrphus balteatus,Calluna vulgaris,211
Bombus humilis,Calluna vulgaris,216
Apis mellifera,Erica tetralix,226
Apis mellifera,Calluna vulgaris,230
Apis mellifera,Calluna vulgaris,233
Apis mellifera,Calluna vulgaris,233
Bombus lucorum/terrestris,Ulex gallii,233
Apis mellifera,Erica tetralix,242
Apis mellifera,Erica tetralix,242
Apis mellifera,Erica tetralix,242
Apis mellifera,Erica tetralix,242
Apis mellifera,Erica tetralix,242
Apis mellifera,Erica tetralix,242
Apis mellifera,Erica tetralix,242
Apis mellifera,Erica tetralix,242
Apis mellifera,Erica tetralix,242
Apis mellifera,Erica tetralix,242
Apis mellifera,Erica tetralix,242
Apis mellifera,Erica tetralix,242
Apis mellifera,Erica tetralix,242
Apis mellifera,Erica tetralix,242
Apis mellifera,Erica tetralix,242
Apis mellifera,Erica tetralix,242
Apis mellifera,Erica tetralix,242
Apis mellifera,Erica tetralix,242
Apis mellifera,Erica tetralix,242
Apis mellifera,Erica tetralix,242
Apis mellifera,Calluna vulgaris,264
Apis mellifera,Calluna vulgaris,270
Apis mellifera,Calluna vulgaris,271
Apis mellifera,Calluna vulgaris,274
Bombus lucorum/terrestris,Calluna vulgaris,280
Bombus pascuorum,Calluna vulgaris,283
Bombus jonellus,Calluna vulgaris,290
Apis mellifera,Erica cinerea,297
Apis mellifera,Calluna vulgaris,312
Bombus lucorum/terrestris,Ulex minor,314
Apis mellifera,Calluna vulgaris,316
Bombus pascuorum,Calluna vulgaris,321
Bombus lapidarius,Hypochaeris glabra,325
Bombus jonellus,Calluna vulgaris,334
Apis mellifera,Calluna vulgaris,335
Apis mellifera,Erica cinerea,340
Bombus humilis,Ulex minor,350
Bombus jonellus,Calluna vulgaris,395
Apis mellifera,Calluna vulgaris,398
Apis mellifera,Calluna vulgaris,413
Vespula rufa,Calluna vulgaris,422
Bombus lucorum/terrestris,Calluna vulgaris,424
Bombus lucorum/terrestris,Erica cinerea,431
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,431.6
Apis mellifera,Calluna vulgaris,451
Bombus pascuorum,Ulex minor,481
Apis mellifera,Calluna vulgaris,485
Apis mellifera,Calluna vulgaris,492
Apis mellifera,Calluna vulgaris,492
Bombus lucorum/terrestris,Calluna vulgaris,604
Apis mellifera,Calluna vulgaris,608
Bombus muscorum,Ulex europaeus,610
Apis mellifera,Calluna vulgaris,622
Apis mellifera,Calluna vulgaris,625
Bombus pascuorum,Ulex minor,630
Apis mellifera,Calluna vulgaris,653
Bombus lucorum/terrestris,Calluna vulgaris,656
Apis mellifera,Calluna vulgaris,658
Apis mellifera,Calluna vulgaris,679
Bombus lucorum/terrestris,Calluna vulgaris,721
Apis mellifera,Calluna vulgaris,732
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,752.3
Apis mellifera,Calluna vulgaris,761
Apis mellifera,Calluna vulgaris,773
Apis mellifera,Calluna vulgaris,783
Bombus jonellus,Calluna vulgaris,802
Apis mellifera,Calluna vulgaris,865
Bombus lucorum/terrestris,Calluna vulgaris,876
Apis mellifera,Calluna vulgaris,885
Apis mellifera,Calluna vulgaris,974
Apis mellifera,Calluna vulgaris,999
Sericomyia silentis,Calluna vulgaris,1115
Bombus jonellus,Calluna vulgaris,1156
Bombus lucorum/terrestris,Calluna vulgaris,1405
Bombus lucorum/terrestris,Calluna vulgaris,1559
Bombus jonellus,Ulex minor,1582
Apis mellifera,Calluna vulgaris,1616
Apis mellifera,Calluna vulgaris,1802
Apis mellifera,Calluna vulgaris,2064
Apis mellifera,Ulex minor,2069
Bombus lucorum/terrestris,Calluna vulgaris,2367
Andrena fuscipes,Calluna vulgaris,2584
Sericus brunneus,Rhododendron ponticum,5
Bombus lucorum/terrestris,Ulex minor,5
Apis mellifera,Calluna vulgaris,5
Metasyrphus luniger,Calluna vulgaris,5
Apis mellifera,Centaurium erythraea,5
Apis mellifera,Calluna vulgaris,5
Apis mellifera,Ulex minor,5
Epistrophe grossulariae,Ulex minor,5
Andrena dorsata,Circium palustre,5
Apis mellifera,Centaurium erythraea,5
Andrena ovatula,Circium palustre,5
Metasyrphus corollae,Erica cinerea,5
Bombus lucorum/terrestris,Ulex minor,5
Bombus lucorum/terrestris,Centaurium erythraea,5
Apis mellifera,Centaurium erythraea,5
Metasyrphus luniger,Circium palustre,5
Metasyrphus corollae,Ulex minor,5
Apis mellifera,Ulex minor,5
Eristalis tenax,Calluna vulgaris,5
Apis mellifera,Erica tetralix,5
Bombus jonellus,Ulex minor,5
Bombus lucorum/terrestris,Erica cinerea,5.3
Bombus lucorum/terrestris,Erica cinerea,5.3
Bombus lucorum/terrestris,Erica cinerea,5.3
Bombus lucorum/terrestris,Erica cinerea,5.3
Bombus lucorum/terrestris,Erica cinerea,5.3
Bombus lucorum/terrestris,Erica cinerea,5.3
Bombus lucorum/terrestris,Erica cinerea,5.3
Bombus lucorum/terrestris,Erica cinerea,5.3
Bombus lucorum/terrestris,Erica cinerea,5.3
Bombus lucorum/terrestris,Erica cinerea,5.3
Bombus lucorum/terrestris,Erica cinerea,5.3
Bombus lucorum/terrestris,Erica cinerea,5.3
Bombus lucorum/terrestris,Erica cinerea,5.3
Apis mellifera,Erica cinerea,5.3
Apis mellifera,Erica cinerea,5.3
Apis mellifera,Erica cinerea,5.3
Apis mellifera,Erica cinerea,5.3
Apis mellifera,Erica cinerea,5.3
Apis mellifera,Erica cinerea,5.3
Apis mellifera,Erica cinerea,5.3
Apis mellifera,Erica cinerea,5.3
Apis mellifera,Erica cinerea,5.3
Apis mellifera,Erica cinerea,5.3
Apis mellifera,Erica cinerea,5.3
Apis mellifera,Erica cinerea,5.3
Apis mellifera,Erica cinerea,5.3
Apis mellifera,Erica cinerea,5.3
Apis mellifera,Erica cinerea,5.3
Apis mellifera,Erica cinerea,5.3
Apis mellifera,Erica cinerea,5.3
Apis mellifera,Calluna vulgaris,6
Episyrphus balteatus,Erica cinerea,6
Rhagonycha fulva,Calluna vulgaris,6
Bombus lucorum/terrestris,Ulex minor,6
Bombus lucorum/terrestris,Ulex minor,6
Apis mellifera,Erica cinerea,6
Apis mellifera,Ulex minor,6
Apis mellifera,Calluna vulgaris,6
Apis mellifera,Calluna vulgaris,6
Bombus lucorum/terrestris,Erica cinerea,6
Apis mellifera,Hypochaeris glabra,6
Episyrphus balteatus,Calluna vulgaris,6
Bombus lucorum/terrestris,Ulex minor,6.3
Bombus lucorum/terrestris,Ulex minor,6.3
Bombus lucorum/terrestris,Erica cinerea,6.5
Bombus lucorum/terrestris,Erica cinerea,6.5
Bombus humilis,Erica tetralix,7
Bombus lucorum/terrestris,Ulex minor,7
Bombus lucorum/terrestris,Erica cinerea,7
Bombus jonellus,Erica cinerea,7
Apis mellifera,Ulex minor,7
Linnaemyia vulpina,Calluna vulgaris,7
Apis mellifera,Calluna vulgaris,7
Rhagonycha fulva,Calluna vulgaris,7
Bombus lucorum/terrestris,Erica tetralix,7
Bombus lucorum/terrestris,Calluna vulgaris,7
Episyrphus balteatus,Calluna vulgaris,7
Apis mellifera,Centaurium erythraea,7
Cynthia cardui,Calluna vulgaris,7
Bombus lucorum/terrestris,Ulex minor,7
Eristalis tenax,Erica cinerea,7
Bombus lucorum/terrestris,Erica cinerea,7
Bombus lucorum/terrestris,Erica cinerea,8
Bombus lucorum/terrestris,Erica cinerea,8
Bombus lucorum/terrestris,Erica tetralix,8
Bombus lucorum/terrestris,Ulex minor,8
Apis mellifera,Erica cinerea,8
Helophilus pendulus,Calluna vulgaris,8
Apis mellifera,Erica cinerea,8
Helophilus pendulus,Circium palustre,8
Apis mellifera,Centaurium erythraea,8
Apis mellifera,Erica tetralix,8
Rhagonycha fulva,Calluna vulgaris,8
Apis mellifera,Calluna vulgaris,8
Apis mellifera,Erica tetralix,8
Bombus humilis,Calluna vulgaris,8
Helophilus pendulus,Calluna vulgaris,8
Bombus lucorum/terrestris,Erica cinerea,9
Apis mellifera,Calluna vulgaris,9
Bombus lucorum/terrestris,Erica cinerea,9
Apis mellifera,Erica cinerea,9
Bombus lucorum/terrestris,Calluna vulgaris,9
Apis mellifera,Erica tetralix,9
Sepsidae indet.,Calluna vulgaris,9
Bombus lapidarius,Calluna vulgaris,9
Bombus lapidarius,Hypochaeris glabra,9
Apis mellifera,Calluna vulgaris,9
Apis mellifera,Ulex minor,9
Bombus lucorum/terrestris,Erica tetralix,9.1
Bombus lucorum/terrestris,Erica tetralix,9.1
Bombus lucorum/terrestris,Erica tetralix,9.1
Bombus lucorum/terrestris,Erica tetralix,9.1
Bombus lucorum/terrestris,Erica cinerea,10
Rhagonycha fulva,Calluna vulgaris,10
Sarcophaga indet.,Erica cinerea,10
Rhagonycha fulva,Calluna vulgaris,10
Metasyrphus corollae,Calluna vulgaris,10
Bombus lucorum/terrestris,Erica cinerea,10
Musca autumnalis,Calluna vulgaris,10
Apis mellifera,Erica cinerea,11
Apis mellifera,Calluna vulgaris,11
Bombus jonellus,Calluna vulgaris,11
Apis mellifera,Erica cinerea,11
Apis mellifera,Centaurium erythraea,11
Bombus lucorum/terrestris,Erica cinerea,11
Bombus lucorum/terrestris,Ulex minor,11
Brachicoma devia,Calluna vulgaris,12
Apis mellifera,Erica cinerea,12
Bombus pascuorum,Calluna vulgaris,12
Bellardia pandia,Calluna vulgaris,12
Bombus lucorum/terrestris,Circium palustre,12
Apis mellifera,Calluna vulgaris,12
Apis mellifera,Calluna vulgaris,12
Syritta pipiens,Calluna vulgaris,12
Episyrphus balteatus,Ulex minor,12
Episyrphus balteatus,Calluna vulgaris,12
Bombus lucorum/terrestris,Erica cinerea,13
Bombus lucorum/terrestris,Erica tetralix,13
Rhagonycha fulva,Calluna vulgaris,13
Bombus jonellus,Erica cinerea,13
Apis mellifera,Centaurium erythraea,13
Apis mellifera,Calluna vulgaris,13
Apis mellifera,Ulex minor,13
Bombus jonellus,Erica tetralix,14
Bombus lucorum/terrestris,Erica tetralix,14
Apis mellifera,Erica cinerea,14
Brachicoma devia,Calluna vulgaris,14
Bombus humilis,Erica tetralix,14
Bombus lucorum/terrestris,Ulex minor,14
Bombus lucorum/terrestris,Ulex minor,14.7
Bombus lucorum/terrestris,Ulex minor,14.7
Bombus lucorum/terrestris,Ulex minor,14.7
Bombus lucorum/terrestris,Ulex minor,14.7
Bombus lucorum/terrestris,Erica cinerea,15
Bombus jonellus,Ulex minor,15
Apis mellifera,Calluna vulgaris,15
Bombus jonellus,Erica cinerea,15
Bombus lucorum/terrestris,Erica cinerea,16
Metasyrphus corollae,Calluna vulgaris,16
Epistrophe grossulariae,Calluna vulgaris,16
Bombus lucorum/terrestris,Ulex minor,16
Bombus lucorum/terrestris,Erica tetralix,16
Apis mellifera,Erica tetralix,16
Bombus lucorum/terrestris,Erica cinerea,16.6
Bombus lucorum/terrestris,Erica cinerea,16.6
Bombus lucorum/terrestris,Erica cinerea,16.6
Bombus lucorum/terrestris,Erica cinerea,16.6
Bombus lucorum/terrestris,Erica cinerea,16.6
Bombus lucorum/terrestris,Erica cinerea,16.6
Bombus lucorum/terrestris,Erica cinerea,16.6
Bombus lucorum/terrestris,Erica cinerea,16.6
Bombus lucorum/terrestris,Calluna vulgaris,17
Apis mellifera,Erica cinerea,17
Rhagonycha fulva,Calluna vulgaris,17
Lasioglossum lativentre,Calluna vulgaris,17
Apis mellifera,Ulex minor,17
Apis mellifera,Erica cinerea,17
Episyrphus balteatus,Calluna vulgaris,17
Bombus lucorum/terrestris,Erica cinerea,17
Eristalis tenax,Calluna vulgaris,17
Apis mellifera,Ulex minor,18
Apis mellifera,Ulex minor,18
Apis mellifera,Calluna vulgaris,18
Apis mellifera,Ulex minor,18
Bombus lapidarius,Erica cinerea,18
Bombus humilis,Calluna vulgaris,19
Bombus lucorum/terrestris,Ulex minor,19
Episyrphus balteatus,Calluna vulgaris,19
Apis mellifera,Erica cinerea,19
Apis mellifera,Erica cinerea,20
Bombus lapidarius,Erica cinerea,20
Sphaerophoria scripta,Calluna vulgaris,20
Platycheirus albimanus,Calluna vulgaris,20
Apis mellifera,Erica cinerea,20.2
Apis mellifera,Erica cinerea,20.2
Apis mellifera,Erica cinerea,20.2
Apis mellifera,Erica cinerea,20.2
Apis mellifera,Erica cinerea,20.2
Apis mellifera,Erica cinerea,20.2
Apis mellifera,Erica cinerea,20.2
Apis mellifera,Erica cinerea,20.2
Apis mellifera,Erica cinerea,20.2
Apis mellifera,Erica cinerea,20.2
Rhagonycha fulva,Calluna vulgaris,21
Apis mellifera,Erica tetralix,21
Bombus lucorum/terrestris,Erica cinerea,21
Bombus lapidarius,Calluna vulgaris,21
Bombus lucorum/terrestris,Erica cinerea,21
Apis mellifera,Erica cinerea,21
Apis mellifera,Erica cinerea,21
Apis mellifera,Calluna vulgaris,21
Apis mellifera,Calluna vulgaris,21
Eristalis tenax,Leontodon saxatilis,21
Andrena dorsata,Ulex minor,22
Apis mellifera,Calluna vulgaris,22
Bombus lucorum/terrestris,Centaurium erythraea,22
Bombus lucorum/terrestris,Ulex minor,22
Bombus lucorum/terrestris,Calluna vulgaris,22
Rhagonycha fulva,Calluna vulgaris,22
Eristalis tenax,Calluna vulgaris,22
Bombus pascuorum,Erica tetralix,22
Apis mellifera,Erica cinerea,23
Pollenia viatica,Calluna vulgaris,23
Apis mellifera,Calluna vulgaris,23
Metasyrphus corollae,Calluna vulgaris,23
Apis mellifera,Calluna vulgaris,23
Apis mellifera,Calluna vulgaris,23
Bombus lucorum/terrestris,Erica tetralix,24
Bombus jonellus,Erica cinerea,24
Apis mellifera,Erica cinerea,25
Metasyrphus corollae,Calluna vulgaris,25
Apis mellifera,Calluna vulgaris,25
Apis mellifera,Calluna vulgaris,25
Bombus pascuorum,Erica cinerea,25
Bombus humilis,Erica cinerea,25
Eristalis tenax,Hypochaeris glabra,25
Apis mellifera,Erica tetralix,26
Bombus jonellus,Erica cinerea,26
Episyrphus balteatus,Calluna vulgaris,26
Bombus lucorum/terrestris,Calluna vulgaris,27
Bombus lucorum/terrestris,Erica cinerea,27
Bombus lucorum/terrestris,Erica cinerea,27
Apis mellifera,Calluna vulgaris,27
Apis mellifera,Erica cinerea,28
Bombus humilis,Calluna vulgaris,28
Bombus jonellus,Erica tetralix,28
Bombus jonellus,Erica tetralix,29
Bombus lapidarius,Calluna vulgaris,29
Bombus lucorum/terrestris,Circium palustre,29
Eristalis tenax,Erica cinerea,29
Bombus lucorum/terrestris,Circium palustre,30
Episyrphus balteatus,Calluna vulgaris,30
Bombus lucorum/terrestris,Calluna vulgaris,30
Bombus lucorum/terrestris,Ulex minor,30
Bombus pascuorum,Erica tetralix,30
Bombus lucorum/terrestris,Calluna vulgaris,31
Rhagonycha fulva,Calluna vulgaris,31
Episyrphus balteatus,Calluna vulgaris,31
Eumerus strigatus,Calluna vulgaris,31
Apis mellifera,Erica cinerea,31
Eristalis tenax,Circium palustre,31
Rhagonycha fulva,Calluna vulgaris,32
Apis mellifera,Calluna vulgaris,32
Apis mellifera,Erica cinerea,32
Apis mellifera,Erica cinerea,33
Apis mellifera,Calluna vulgaris,33
Bombus lucorum/terrestris,Erica cinerea,34
Apis mellifera,Erica cinerea,35
Apis mellifera,Calluna vulgaris,35
Bombus lucorum/terrestris,Erica cinerea,35
Episyrphus balteatus,Calluna vulgaris,35
Bombus lucorum/terrestris,Erica tetralix,35.3
Bombus lucorum/terrestris,Erica tetralix,35.3
Bombus lucorum/terrestris,Erica tetralix,35.3
Bombus lucorum/terrestris,Erica tetralix,35.3
Bombus lucorum/terrestris,Erica tetralix,35.3
Bombus lucorum/terrestris,Erica tetralix,35.3
Bombus lucorum/terrestris,Erica tetralix,35.3
Bombus lucorum/terrestris,Erica tetralix,35.3
Musca autumnalis,Calluna vulgaris,36
Eristalis tenax,Hypochaeris glabra,36
Bombus lucorum/terrestris,Erica cinerea,37
Bombus lapidarius,Erica cinerea,37
Episyrphus balteatus,Calluna vulgaris,37
Apis mellifera,Erica cinerea,37
Apis mellifera,Erica cinerea,38
Bombus lucorum/terrestris,Erica cinerea,39
Andrena ovatula,Calluna vulgaris,39
Apis mellifera,Erica tetralix,39
Apis mellifera,Erica cinerea,39
Bombus jonellus,Erica cinerea,40
Bombus lucorum/terrestris,Erica tetralix,41
Episyrphus balteatus,Calluna vulgaris,41
Bombus lucorum/terrestris,Erica cinerea,42
Bombus lucorum/terrestris,Calluna vulgaris,42
Metasyrphus corollae,Calluna vulgaris,43
Rhagonycha fulva,Calluna vulgaris,44
Bombus jonellus,Erica tetralix,44
Bombus jonellus,Erica cinerea,44
Bombus lapidarius,Ulex minor,44
Eudasyphora cyanella,Calluna vulgaris,44
Pollenia angustigena,Calluna vulgaris,44
Bombus lucorum/terrestris,Erica cinerea,44.4
Bombus lucorum/terrestris,Erica cinerea,44.4
Eristalis tenax,Hypochaeris glabra,45
Apis mellifera,Calluna vulgaris,46
Bombus jonellus,Calluna vulgaris,48
Bombus lucorum/terrestris,Erica tetralix,48
Eristalis tenax,Hypochaeris glabra,48
Bombus lapidarius,Calluna vulgaris,49
Apis mellifera,Erica cinerea,50
Sarcophaga carnaria,Calluna vulgaris,50
Apis mellifera,Erica tetralix,51
Bombus lucorum/terrestris,Calluna vulgaris,52
Rhagonycha fulva,Calluna vulgaris,52
Apis mellifera,Erica cinerea,52
Bombus lucorum/terrestris,Erica tetralix,53
Bombus lapidarius,Calluna vulgaris,54
Bombus lapidarius,Ulex europaeus,54
Bombus pascuorum,Ulex minor,55
Sarcophaga indet.,Calluna vulgaris,55
Bombus lapidarius,Erica cinerea,55
Melinda gentilis,Calluna vulgaris,56
Andrena ovatula,Ulex minor,56
Apis mellifera,Erica cinerea,57
Bombus lucorum/terrestris,Ulex minor,60
Pollenia viatica,Calluna vulgaris,61
Episyrphus balteatus,Calluna vulgaris,61
Apis mellifera,Erica cinerea,61
Apis mellifera,Erica cinerea,62
Bombus pascuorum,Ulex europaeus,63
Apis mellifera,Erica cinerea,63
Bombus jonellus,Calluna vulgaris,63
Apis mellifera,Erica cinerea,63
Bombus jonellus,Erica tetralix,65
Helophilus pendulus,Calluna vulgaris,65
Empis praevia,Senecio jacobaea,66
Bombus lucorum/terrestris,Erica tetralix,66
Bombus humilis,Erica cinerea,66
Apis mellifera,Calluna vulgaris,67
Episyrphus balteatus,Calluna vulgaris,68
Rhagonycha fulva,Calluna vulgaris,69
Epistrophe grossulariae,Calluna vulgaris,72
Bombus lucorum/terrestris,Erica cinerea,73
Pollenia viatica,Calluna vulgaris,73
Bombus pascuorum,Calluna vulgaris,74
Bombus lucorum/terrestris,Ulex minor,74.9
Bombus lucorum/terrestris,Ulex minor,74.9
Sarcophaga indet.,Calluna vulgaris,75
Bombus lucorum/terrestris,Erica cinerea,77
Metasyrphus corollae,Calluna vulgaris,77
Metasyrphus corollae,Calluna vulgaris,79
Bombus jonellus,Erica cinerea,80
Musca autumnalis,Calluna vulgaris,80
Bombus pascuorum,Erica cinerea,80
Bombus lucorum/terrestris,Erica cinerea,81
Sarcophaga indet.,Calluna vulgaris,81
Bombus jonellus,Calluna vulgaris,82
Bombus lucorum/terrestris,Erica cinerea,83
Sarcophaga indet.,Calluna vulgaris,84
Bombus pascuorum,Ulex minor,86
Andrena fuscipes,Calluna vulgaris,87
Bombus pascuorum,Erica tetralix,88
Bombus lucorum/terrestris,Ulex minor,88
Apis mellifera,Erica cinerea,88
Andrena dorsata,Erica tetralix,91
Apis mellifera,Calluna vulgaris,98
Episyrphus balteatus,Calluna vulgaris,102
Sarcophaga indet.,Calluna vulgaris,103
Linnaemyia vulpina,Calluna vulgaris,104
Bombus lapidarius,Erica tetralix,105
Bombus lapidarius,Calluna vulgaris,105
Bombus lucorum/terrestris,Erica cinerea,109.4
Bombus lucorum/terrestris,Erica cinerea,109.4
Bombus lucorum/terrestris,Erica cinerea,109.4
Bombus lucorum/terrestris,Erica cinerea,109.4
Metasyrphus corollae,Calluna vulgaris,112
Apis mellifera,Erica cinerea,113
Episyrphus balteatus,Calluna vulgaris,113
Bombus lucorum/terrestris,Calluna vulgaris,113
Episyrphus balteatus,Calluna vulgaris,114
Bombus lucorum/terrestris,Erica tetralix,115
Bombus jonellus,Erica cinerea,118
Bombus jonellus,Calluna vulgaris,121
Bombus jonellus,Calluna vulgaris,121
Apis mellifera,Calluna vulgaris,121
Bombus humilis,Calluna vulgaris,121
Bombus lapidarius,Erica cinerea,123
Eristalis tenax,Calluna vulgaris,125
Bombus lucorum/terrestris,Erica cinerea,131
Bombus pascuorum,Calluna vulgaris,137
Bombus humilis,Erica cinerea,139
Apis mellifera,Erica cinerea,140
Bombus lucorum/terrestris,Ulex minor,146.6
Bombus lucorum/terrestris,Ulex minor,146.6
Bombus lucorum/terrestris,Ulex minor,146.6
Bombus lucorum/terrestris,Ulex minor,146.6
Bombus lucorum/terrestris,Ulex minor,146.6
Episyrphus balteatus,Calluna vulgaris,148
Apis mellifera,Calluna vulgaris,149
Bombus lucorum/terrestris,Erica cinerea,153
Bombus pascuorum,Erica cinerea,162
